2019/01/03-12:48 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain- Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79d06bbd, org.springframework.security.web.context.SecurityContextPersistenceFilter@4eed2acf, org.springframework.security.web.header.HeaderWriterFilter@3ab6678b, org.springframework.security.web.authentication.logout.LogoutFilter@1d540566, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@74294c1a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57c47a9e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27b2faa6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@47a7a101, org.springframework.security.web.session.SessionManagementFilter@2b59501e, org.springframework.security.web.access.ExceptionTranslationFilter@285f38f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6ecab872]
2019/01/03-12:48 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8081 (http) with context path ''
2019/01/03-12:48 [main] INFO  com.demo.springwebdemo.SpringWebApplication- Started SpringWebApplication in 6.147 seconds (JVM running for 8.048)
2019/01/03-12:48 [http-nio-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring DispatcherServlet 'dispatcherServlet'
2019/01/03-12:48 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- Initializing Servlet 'dispatcherServlet'
2019/01/03-12:48 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- Completed initialization in 10 ms
2019/01/03-12:48 [http-nio-8081-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} inited
2019/01/03-12:49 [main] INFO  com.demo.springwebdemo.SpringWebApplication- Starting SpringWebApplication on vargen-PC with PID 4176 (F:\springbootdemo\springwebdemo\target\classes started by vargen in F:\springbootdemo)
2019/01/03-12:49 [main] INFO  com.demo.springwebdemo.SpringWebApplication- No active profile set, falling back to default profiles: default
2019/01/03-12:49 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8084 (http)
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/9.0.13
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.AprLifecycleListener- An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.18]
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.AprLifecycleListener- Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.AprLifecycleListener- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.AprLifecycleListener- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.AprLifecycleListener- OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019/01/03-12:49 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
2019/01/03-12:49 [main] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 3078 ms
2019/01/03-12:49 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
2019/01/03-12:49 [main] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019/01/03-12:49 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping- Adding welcome page: class path resource [static/index.html]
2019/01/03-12:49 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain- Creating filter chain: Ant [pattern='/blogimg/**'], []
2019/01/03-12:49 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain- Creating filter chain: Ant [pattern='/index.html'], []
2019/01/03-12:49 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain- Creating filter chain: Ant [pattern='/static/**'], []
